"lsam","linc","educ","cacc","sacc","hous","life","occ"
10.4645308924627,15.3459160855102,17,4,6,3,1,6
12.100989869077,13.4884637619902,16,4,4,3,1,6
7.0475172213573,11.3028215271638,14,3,3,3,1,3
3.91202300542815,12.6117044064177,16,4,1,3,1,5
10.3106179399634,12.3240778787211,16,3,2,3,1,6
3.91202300542815,10.2767737622801,12,2,1,3,2,3
9.21532791348722,11.5995617716298,14,3,4,3,1,6
11.1569645517652,12.9599620880455,16,3,2,3,1,6
3.91202300542815,14.6699471624897,17,2,1,3,1,6
3.91202300542815,12.3416955993149,14,2,1,3,2,7
3.91202300542815,10.9339994285003,12,3,1,3,2,7
10.0878902755339,11.7756742708768,12,2,3,3,1,5
3.91202300542815,14.771041233576,12,3,1,3,1,6
3.91202300542815,9.3101857069459,13,2,1,4,2,7
3.91202300542815,9.5503776747619,10,1,1,4,2,7
3.91202300542815,11.3150840965182,14,2,1,3,2,7
3.91202300542815,13.2268134787608,16,3,1,3,1,6
9.21532791348722,12.0018121812175,16,2,2,3,1,4
9.1850225639919,11.9643195049668,17,2,3,3,1,6
12.2063226142854,13.5542107267866,17,3,5,3,1,6
7.34601020991329,11.1279980080796,12,2,2,3,1,6
7.84384863815247,9.80090096376103,11,1,2,4,2,3
11.1569645517652,12.5533788394648,10,4,3,3,1,2
3.91202300542815,11.8059681436641,17,2,1,4,1,5
3.91202300542815,10.2417439109508,16,4,1,3,2,6
11.2259098370616,12.0954203754266,17,2,2,5,1,5
7.34601020991329,11.0029328275081,13,2,2,3,2,3
14.876784360977,15.6795984406799,16,4,3,3,1,6
3.91202300542815,11.4621583479166,14,2,1,3,1,3
3.91202300542815,11.1851156014277,12,4,1,4,2,3
6.47697236288968,11.6617764117026,16,3,2,3,1,6
12.2063226142854,14.3102372871405,16,3,2,3,1,7
9.11052003669397,10.7589661450135,16,3,4,3,2,7
12.5604198824597,13.8155605567143,16,3,5,3,1,6
8.46589989702869,9.3101857069459,12,2,2,1,1,4
3.91202300542815,10.8599600740431,17,5,1,3,1,7
9.21532791348722,11.4081203506041,17,5,5,3,1,4
3.91202300542815,13.1224633724047,16,3,1,3,1,6
10.128629106513,14.2075864289534,16,3,6,3,1,6
15.830420245151,17.214707606961,17,3,3,3,1,6
10.128629106513,11.5810512940178,12,3,2,3,1,5
12.2063226142854,13.527895149957,16,4,2,3,1,6
3.91202300542815,15.1713585981144,17,3,1,3,2,6
3.91202300542815,9.0994088112689,12,2,1,4,2,7
5.52146091786225,10.4645308924627,16,3,2,4,1,4
7.34601020991329,11.4726241681967,14,3,5,3,1,6
6.30991827822652,10.001067880875,16,2,2,3,1,6
3.91202300542815,10.5725981552678,12,2,1,4,2,5
3.91202300542815,11.1279980080796,12,4,1,3,1,3
